Designator,Mid X,Mid Y,Layer,Rotation
C1,48.3,-34.7,top,-90
C2,59.5,-31.05,top,-90
C3,48.47,-48.175,top,90
C4,56.02,-45.875,top,-90
C5,48.1,-65.4,top,90
C6,49.75,-65.375,top,90
C7,53.15,-62.725,top,180
C8,55.55,-66.125,top,90
C9,56.95,-58.6,top,90
D1,60.5375,-39.75,top,0
D2,56.02,-49.5,top,90
D3,60.4,-60.475,top,180
J1,43.2,-35.95,top,180
J2,43.97,-45.65,top,0
J3,44.25,-66.7,top,180
L1,51.9,-57.65,top,90
PS2,52.1,-45.7,top,180
R1,48.47,-45.16,top,90
R2,58.5,-63.37,top,90
R3,57.05,-66.125,top,90
R4,55.95,-63.925,top,0
R5,58.25,-40,top,-90
R6,53.5,-48.6,top,180
R7,60.75,-62.025,top,180
TP2,61.4,-34.95,top,0
TP4,61.5,-45.25,top,0
TP8,61.7625,-57.775,top,-90
TP9,44,-54.5,top,-90
U1,54,-35,top,0
U2,52.6625,-65.275,top,0
